Instance_Name,API_Name,vCPU,Memory,Instance_Family,Network_Performance,On_Demand_Cost,Reserved_1Year_Cost,Reserved_3Year_Cost,Spot_Min_Cost,Spot_Max_Cost,Storage,Architecture,Cloud_Provider
M5 General Purpose Eight Extra Large,m5d.8xlarge,32 vCPUs,128.0 GiB,M5,10 Gigabit,$1.808 hourly,$1.139 hourly,$1.139 hourly,$0.567700 hourly,$0.775000 hourly,1200 GB                 (2 * 600 GB NVMe SSD),64-bit,AWS
R6I Metal,r6i.metal,128 vCPUs,1024.0 GiB,R6I,50 Gigabit,$8.064 hourly,$5.33434 hourly,$5.33434 hourly,$2.394100 hourly,$2.394100 hourly,EBS only,64-bit,AWS
M4 General Purpose Extra Large,m4.xlarge,4 vCPUs,16.0 GiB,M4,High,$0.2 hourly,$0.1239 hourly,$0.1239 hourly,$0.079200 hourly,$0.126300 hourly,EBS only,64-bit,AWS
D2 Extra Large,d2.xlarge,4 vCPUs,30.5 GiB,D2,Moderate,$0.69 hourly,$0.402 hourly,$0.402 hourly,$0.207000 hourly,$0.207000 hourly,6000 GB                 (3 * 2000 GB HDD),64-bit,AWS
C6I Extra Large,c6i.xlarge,4 vCPUs,8.0 GiB,C6I,Up to 12.5 Gigabit,$0.17 hourly,$0.11246 hourly,$0.11246 hourly,$0.068000 hourly,$0.069400 hourly,EBS only,64-bit,AWS
C5 High-CPU Double Extra Large,c5.2xlarge,8 vCPUs,16.0 GiB,C5,Up to 10 Gigabit,$0.34 hourly,$0.214 hourly,$0.214 hourly,$0.182300 hourly,$0.201600 hourly,EBS only,64-bit,AWS
G4DN 16xlarge,g4dn.16xlarge,64 vCPUs,256.0 GiB,G4DN,50 Gigabit,$4.352 hourly,$2.742 hourly,$2.742 hourly,$1.305600 hourly,$1.547000 hourly,900 GB                 NVMe SSD,64-bit,AWS
X2IEDN Quadruple Extra Large,x2iedn.4xlarge,16 vCPUs,512.0 GiB,X2IEDN,Up to 25 Gigabit,$3.3345 hourly,$2.05172 hourly,$2.05172 hourly,$1.000400 hourly,$1.000400 hourly,475 GB                 NVMe SSD,64-bit,AWS
M5 General Purpose Eight Extra Large,m5.8xlarge,32 vCPUs,128.0 GiB,M5,10 Gigabit,$1.536 hourly,$0.968 hourly,$0.968 hourly,$0.596200 hourly,$0.755000 hourly,EBS only,64-bit,AWS
R4 High-Memory 16xlarge,r4.16xlarge,64 vCPUs,488.0 GiB,R4,25 Gigabit,$4.256 hourly,$2.688 hourly,$2.688 hourly,$1.096800 hourly,$1.341500 hourly,EBS only,64-bit,AWS
R6I 16xlarge,r6i.16xlarge,64 vCPUs,512.0 GiB,R6I,25 Gigabit,$4.032 hourly,$2.66717 hourly,$2.66717 hourly,$1.197000 hourly,$1.455400 hourly,EBS only,64-bit,AWS
M5 General Purpose Extra Large,m5.xlarge,4 vCPUs,16.0 GiB,M5,Up to 10 Gigabit,$0.192 hourly,$0.121 hourly,$0.121 hourly,$0.068000 hourly,$0.071000 hourly,EBS only,64-bit,AWS
Z1D Double Extra Large,z1d.2xlarge,8 vCPUs,64.0 GiB,Z1D,Up to 10 Gigabit,$0.744 hourly,$0.469 hourly,$0.469 hourly,$0.223200 hourly,$0.463900 hourly,300 GB                 NVMe SSD,64-bit,AWS
R5 Eight Extra Large,r5.8xlarge,32 vCPUs,256.0 GiB,R5,10 Gigabit,$2.016 hourly,$1.27 hourly,$1.27 hourly,$0.639500 hourly,$0.744900 hourly,EBS only,64-bit,AWS
R4 High-Memory Double Extra Large,r4.2xlarge,8 vCPUs,61.0 GiB,R4,Up to 10 Gigabit,$0.532 hourly,$0.336 hourly,$0.336 hourly,$0.215300 hourly,$0.318500 hourly,EBS only,64-bit,AWS
Z1D Extra Large,z1d.xlarge,4 vCPUs,32.0 GiB,Z1D,Up to 10 Gigabit,$0.372 hourly,$0.234 hourly,$0.234 hourly,$0.111600 hourly,$0.111600 hourly,150 GB                 NVMe SSD,64-bit,AWS
D3 Eight Extra Large,d3.8xlarge,32 vCPUs,256.0 GiB,D3,25 Gigabit,$3.99552 hourly,$2.51718 hourly,$2.51718 hourly,$1.198700 hourly,$1.198700 hourly,47520 GB                 (24 * 1980 GB HDD),64-bit,AWS
P2 General Purpose GPU Eight Extra Large,p2.8xlarge,32 vCPUs,488.0 GiB,P2,10 Gigabit,$7.2 hourly,$4.914 hourly,$4.914 hourly,$2.160000 hourly,$2.160000 hourly,EBS only,64-bit,AWS
R6I Quadruple Extra Large,r6i.4xlarge,16 vCPUs,128.0 GiB,R6I,Up to 12.5 Gigabit,$1.008 hourly,$0.66679 hourly,$0.66679 hourly,$0.336200 hourly,$0.376200 hourly,EBS only,64-bit,AWS
R6I Extra Large,r6i.xlarge,4 vCPUs,32.0 GiB,R6I,Up to 12.5 Gigabit,$0.252 hourly,$0.1667 hourly,$0.1667 hourly,$0.075700 hourly,$0.087900 hourly,EBS only,64-bit,AWS
C4 High-CPU Eight Extra Large,c4.8xlarge,36 vCPUs,60.0 GiB,C4,10 Gigabit,$1.591 hourly,$1.008 hourly,$1.008 hourly,$0.517100 hourly,$0.635400 hourly,EBS only,64-bit,AWS
U-3TB1 56xlarge,u-3tb1.56xlarge,224 vCPUs,3072.0 GiB,U-3TB1,50 Gigabit,$27.3 hourly,$16.82349 hourly,$16.82349 hourly,unavailable,unavailable,EBS only,64-bit,AWS
Z1D Metal,z1d.metal,48 vCPUs,384.0 GiB,Z1D,25 Gigabit,$4.464 hourly,$2.812 hourly,$2.812 hourly,$1.339200 hourly,$1.339200 hourly,1800 GB                 (2 * 900 GB NVMe SSD),64-bit,AWS
T3 Double Extra Large,t3.2xlarge,8 vCPUs                                                         for a                   9h 36m                   burst,32.0 GiB,T3,Up to 5 Gigabit,$0.3328 hourly,$0.2086 hourly,$0.2086 hourly,$0.099800 hourly,$0.155200 hourly,EBS only,64-bit,AWS
D2 Double Extra Large,d2.2xlarge,8 vCPUs,61.0 GiB,D2,High,$1.38 hourly,$0.804 hourly,$0.804 hourly,$0.414000 hourly,$0.414000 hourly,12000 GB                 (6 * 2000 GB HDD),64-bit,AWS
D2 Quadruple Extra Large,d2.4xlarge,16 vCPUs,122.0 GiB,D2,High,$2.76 hourly,$1.608 hourly,$1.608 hourly,$0.828000 hourly,$0.828000 hourly,24000 GB                 (12 * 2000 GB HDD),64-bit,AWS
R6I 32xlarge,r6i.32xlarge,128 vCPUs,1024.0 GiB,R6I,50 Gigabit,$8.064 hourly,$5.33434 hourly,$5.33434 hourly,$2.394100 hourly,$2.581900 hourly,EBS only,64-bit,AWS
X2IDN 16xlarge,x2idn.16xlarge,64 vCPUs,1024.0 GiB,X2IDN,50 Gigabit,$6.669 hourly,$4.10344 hourly,$4.10344 hourly,$2.000700 hourly,$2.000700 hourly,1900 GB                 NVMe SSD,64-bit,AWS
U-6TB1 112xlarge,u-6tb1.112xlarge,448 vCPUs,6144.0 GiB,U-6TB1,100 Gigabit,$54.6 hourly,$33.64698 hourly,$33.64698 hourly,unavailable,unavailable,EBS only,64-bit,AWS
G4DN Metal,g4dn.metal,96 vCPUs,384.0 GiB,G4DN,100 Gigabit,$7.824 hourly,$4.929 hourly,$4.929 hourly,$2.347200 hourly,$2.347200 hourly,1800 GB                 (2 * 900 GB NVMe SSD),64-bit,AWS
