Instance_Name,API_Name,vCPU,Memory,Instance_Family,Network_Performance,On_Demand_Cost,Reserved_1Year_Cost,Reserved_3Year_Cost,Spot_Min_Cost,Spot_Max_Cost,Storage,Architecture,Cloud_Provider
T3 Large,t3.large,2 vCPUs                                                         for a                   7h 12m                   burst,8.0 GiB,T3,Up to 5 Gigabit,$0.0832 hourly,$0.0522 hourly,$0.0522 hourly,$0.025200 hourly,$0.031200 hourly,EBS only,64-bit,AWS
VT1 6xlarge,vt1.6xlarge,24 vCPUs,48.0 GiB,VT1,6.25 Gigabit,$1.3 hourly,$0.819 hourly,$0.819 hourly,$0.390000 hourly,$0.390000 hourly,EBS only,64-bit,AWS
U-9TB1 Metal,u-9tb1.metal,448 vCPUs,9216.0 GiB,U-9TB1,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,EBS only,64-bit,AWS
G4DN 12xlarge,g4dn.12xlarge,48 vCPUs,192.0 GiB,G4DN,50 Gigabit,$3.912 hourly,$2.465 hourly,$2.465 hourly,$1.261900 hourly,$1.817700 hourly,900 GB                 NVMe SSD,64-bit,AWS
P4D Highest Performance GPU 24xlarge,p4d.24xlarge,96 vCPUs,1152.0 GiB,P4D,4x 100 Gigabit,$32.7726 hourly,$20.175498 hourly,$20.175498 hourly,$9.831800 hourly,$10.107200 hourly,8000 GB                 (8 * 1000 GB NVMe SSD),64-bit,AWS
Standard_B1s,Standard_B1s,1,1 GiB,B,Moderate,$0.0104 hourly,$0.0078 hourly,$0.0068 hourly,$0.0014 hourly,$0.0014 hourly,4 GiB,x64,Azure
Standard_B1ms,Standard_B1ms,1,2 GiB,B,Moderate,$0.0207 hourly,$0.0155 hourly,$0.0135 hourly,$0.0027 hourly,$0.0027 hourly,4 GiB,x64,Azure
Standard_B2s,Standard_B2s,2,4 GiB,B,Moderate,$0.0416 hourly,$0.0312 hourly,$0.0270 hourly,$0.0054 hourly,$0.0054 hourly,8 GiB,x64,Azure
Standard_B2ms,Standard_B2ms,2,8 GiB,B,Moderate,$0.0832 hourly,$0.0624 hourly,$0.0541 hourly,$0.0108 hourly,$0.0108 hourly,16 GiB,x64,Azure
Standard_B4ms,Standard_B4ms,4,16 GiB,B,Moderate,$0.1664 hourly,$0.1248 hourly,$0.1082 hourly,$0.0216 hourly,$0.0216 hourly,32 GiB,x64,Azure
Standard_B8ms,Standard_B8ms,8,32 GiB,B,High,$0.3328 hourly,$0.2496 hourly,$0.2163 hourly,$0.0433 hourly,$0.0433 hourly,64 GiB,x64,Azure
Standard_B12ms,Standard_B12ms,12,48 GiB,B,High,$0.4992 hourly,$0.3744 hourly,$0.3245 hourly,$0.0649 hourly,$0.0649 hourly,96 GiB,x64,Azure
Standard_B16ms,Standard_B16ms,16,64 GiB,B,High,$0.6656 hourly,$0.4992 hourly,$0.4326 hourly,$0.0865 hourly,$0.0865 hourly,128 GiB,x64,Azure
Standard_B20ms,Standard_B20ms,20,80 GiB,B,High,$0.832 hourly,$0.6240 hourly,$0.5408 hourly,$0.1082 hourly,$0.1082 hourly,160 GiB,x64,Azure
Standard_D2as_v7,Standard_D2as_v7,2,8 GiB,D,12.5 Gbps,$0.096 hourly,$0.0720 hourly,$0.0624 hourly,$0.0125 hourly,$0.0125 hourly,,x64,Azure
Standard_D4as_v7,Standard_D4as_v7,4,16 GiB,D,12.5 Gbps,$0.192 hourly,$0.1440 hourly,$0.1248 hourly,$0.0250 hourly,$0.0250 hourly,,x64,Azure
Standard_D8as_v7,Standard_D8as_v7,8,32 GiB,D,12.5 Gbps,$0.384 hourly,$0.2880 hourly,$0.2496 hourly,$0.0499 hourly,$0.0499 hourly,,x64,Azure
Standard_D16as_v7,Standard_D16as_v7,16,64 GiB,D,25 Gbps,$0.768 hourly,$0.5760 hourly,$0.4992 hourly,$0.0998 hourly,$0.0998 hourly,,x64,Azure
Standard_D32as_v7,Standard_D32as_v7,32,128 GiB,D,25 Gbps,$1.536 hourly,$1.1520 hourly,$0.9984 hourly,$0.1997 hourly,$0.1997 hourly,,x64,Azure
Standard_D48as_v7,Standard_D48as_v7,48,192 GiB,D,25 Gbps,$2.304 hourly,$1.7280 hourly,$1.4976 hourly,$0.2995 hourly,$0.2995 hourly,,x64,Azure
Standard_D64as_v7,Standard_D64as_v7,64,256 GiB,D,40 Gbps,$3.072 hourly,$2.3040 hourly,$1.9968 hourly,$0.3994 hourly,$0.3994 hourly,,x64,Azure
Standard_D96as_v7,Standard_D96as_v7,96,384 GiB,D,40 Gbps,$4.608 hourly,$3.4560 hourly,$2.9952 hourly,$0.5990 hourly,$0.5990 hourly,,x64,Azure
Standard_D2s_v5,Standard_D2s_v5,2,8 GiB,D,12.5 Gbps,$0.096 hourly,$0.0720 hourly,$0.0624 hourly,$0.0125 hourly,$0.0125 hourly,,x64,Azure
Standard_D4s_v5,Standard_D4s_v5,4,16 GiB,D,12.5 Gbps,$0.192 hourly,$0.1440 hourly,$0.1248 hourly,$0.0250 hourly,$0.0250 hourly,,x64,Azure
Standard_D8s_v5,Standard_D8s_v5,8,32 GiB,D,12.5 Gbps,$0.384 hourly,$0.2880 hourly,$0.2496 hourly,$0.0499 hourly,$0.0499 hourly,,x64,Azure
Standard_D16s_v5,Standard_D16s_v5,16,64 GiB,D,25 Gbps,$0.768 hourly,$0.5760 hourly,$0.4992 hourly,$0.0998 hourly,$0.0998 hourly,,x64,Azure
Standard_D32s_v5,Standard_D32s_v5,32,128 GiB,D,25 Gbps,$1.536 hourly,$1.1520 hourly,$0.9984 hourly,$0.1997 hourly,$0.1997 hourly,,x64,Azure
Standard_D48s_v5,Standard_D48s_v5,48,192 GiB,D,25 Gbps,$2.304 hourly,$1.7280 hourly,$1.4976 hourly,$0.2995 hourly,$0.2995 hourly,,x64,Azure
Standard_D64s_v5,Standard_D64s_v5,64,256 GiB,D,40 Gbps,$3.072 hourly,$2.3040 hourly,$1.9968 hourly,$0.3994 hourly,$0.3994 hourly,,x64,Azure
Standard_D96s_v5,Standard_D96s_v5,96,384 GiB,D,40 Gbps,$4.608 hourly,$3.4560 hourly,$2.9952 hourly,$0.5990 hourly,$0.5990 hourly,,x64,Azure
Standard_E2s_v5,Standard_E2s_v5,2,16 GiB,E,12.5 Gbps,$0.134 hourly,$0.1005 hourly,$0.0871 hourly,$0.0174 hourly,$0.0174 hourly,,x64,Azure
Standard_E4s_v5,Standard_E4s_v5,4,32 GiB,E,12.5 Gbps,$0.268 hourly,$0.2010 hourly,$0.1742 hourly,$0.0348 hourly,$0.0348 hourly,,x64,Azure
Standard_E8s_v5,Standard_E8s_v5,8,64 GiB,E,12.5 Gbps,$0.536 hourly,$0.4020 hourly,$0.3484 hourly,$0.0697 hourly,$0.0697 hourly,,x64,Azure
Standard_E16s_v5,Standard_E16s_v5,16,128 GiB,E,25 Gbps,$1.072 hourly,$0.8040 hourly,$0.6968 hourly,$0.1394 hourly,$0.1394 hourly,,x64,Azure
Standard_E32s_v5,Standard_E32s_v5,32,256 GiB,E,25 Gbps,$2.144 hourly,$1.6080 hourly,$1.3936 hourly,$0.2787 hourly,$0.2787 hourly,,x64,Azure
Standard_E48s_v5,Standard_E48s_v5,48,384 GiB,E,25 Gbps,$3.216 hourly,$2.4120 hourly,$2.0904 hourly,$0.4181 hourly,$0.4181 hourly,,x64,Azure
Standard_E64s_v5,Standard_E64s_v5,64,512 GiB,E,40 Gbps,$4.288 hourly,$3.2160 hourly,$2.7872 hourly,$0.5574 hourly,$0.5574 hourly,,x64,Azure
Standard_E96s_v5,Standard_E96s_v5,96,672 GiB,E,40 Gbps,$6.432 hourly,$4.8240 hourly,$4.1808 hourly,$0.8362 hourly,$0.8362 hourly,,x64,Azure
Standard_F2s_v2,Standard_F2s_v2,2,4 GiB,F,Moderate,$0.085 hourly,$0.0638 hourly,$0.0553 hourly,$0.0111 hourly,$0.0111 hourly,16 GiB SSD,x64,Azure
Standard_F4s_v2,Standard_F4s_v2,4,8 GiB,F,Moderate,$0.169 hourly,$0.1268 hourly,$0.1099 hourly,$0.0220 hourly,$0.0220 hourly,32 GiB SSD,x64,Azure
Standard_F8s_v2,Standard_F8s_v2,8,16 GiB,F,High,$0.338 hourly,$0.2535 hourly,$0.2197 hourly,$0.0439 hourly,$0.0439 hourly,64 GiB SSD,x64,Azure
Standard_F16s_v2,Standard_F16s_v2,16,32 GiB,F,High,$0.676 hourly,$0.5070 hourly,$0.4394 hourly,$0.0879 hourly,$0.0879 hourly,128 GiB SSD,x64,Azure
Standard_F32s_v2,Standard_F32s_v2,32,64 GiB,F,Extremely High,$1.352 hourly,$1.0140 hourly,$0.8788 hourly,$0.1758 hourly,$0.1758 hourly,256 GiB SSD,x64,Azure
Standard_F48s_v2,Standard_F48s_v2,48,96 GiB,F,Extremely High,$2.028 hourly,$1.5210 hourly,$1.3182 hourly,$0.2636 hourly,$0.2636 hourly,384 GiB SSD,x64,Azure
Standard_F64s_v2,Standard_F64s_v2,64,128 GiB,F,Extremely High,$2.704 hourly,$2.0280 hourly,$1.7576 hourly,$0.3515 hourly,$0.3515 hourly,512 GiB SSD,x64,Azure
Standard_F72s_v2,Standard_F72s_v2,72,144 GiB,F,Extremely High,$3.042 hourly,$2.2815 hourly,$1.9773 hourly,$0.3955 hourly,$0.3955 hourly,576 GiB SSD,x64,Azure
Standard_M8ms,Standard_M8ms,8,218.75 GiB,M,High,$2.056 hourly,$1.5420 hourly,$1.3364 hourly,$0.2673 hourly,$0.2673 hourly,256 GiB SSD,x64,Azure
Standard_M16ms,Standard_M16ms,16,437.5 GiB,M,High,$4.112 hourly,$3.0840 hourly,$2.6728 hourly,$0.5346 hourly,$0.5346 hourly,512 GiB SSD,x64,Azure
Standard_M32ms,Standard_M32ms,32,875 GiB,M,Extremely High,$8.224 hourly,$6.1680 hourly,$5.3456 hourly,$1.0691 hourly,$1.0691 hourly,1024 GiB SSD,x64,Azure
Standard_M64ms,Standard_M64ms,64,1750 GiB,M,Extremely High,$16.448 hourly,$12.3360 hourly,$10.6912 hourly,$2.1382 hourly,$2.1382 hourly,2048 GiB SSD,x64,Azure
Standard_M128ms,Standard_M128ms,128,3800 GiB,M,Extremely High,$32.775 hourly,$24.5812 hourly,$21.3038 hourly,$4.2607 hourly,$4.2607 hourly,4096 GiB SSD,x64,Azure
Standard_A1_v2,Standard_A1_v2,1,2 GiB,A,Moderate,$0.043 hourly,$0.0323 hourly,$0.0279 hourly,$0.0056 hourly,$0.0056 hourly,10 GiB,x64,Azure
Standard_A2_v2,Standard_A2_v2,2,4 GiB,A,Moderate,$0.086 hourly,$0.0645 hourly,$0.0559 hourly,$0.0112 hourly,$0.0112 hourly,20 GiB,x64,Azure
Standard_A4_v2,Standard_A4_v2,4,8 GiB,A,High,$0.172 hourly,$0.1290 hourly,$0.1118 hourly,$0.0224 hourly,$0.0224 hourly,40 GiB,x64,Azure
Standard_A8_v2,Standard_A8_v2,8,16 GiB,A,High,$0.344 hourly,$0.2580 hourly,$0.2236 hourly,$0.0447 hourly,$0.0447 hourly,80 GiB,x64,Azure
e2-micro,e2-micro,0.25,1 GiB,E2,1 Gbps,$0.0056 hourly,$0.0034 hourly,$0.0025 hourly,$0.0011 hourly,$0.0011 hourly,No,x86_64,GCP
e2-small,e2-small,0.5,2 GiB,E2,1 Gbps,$0.0113 hourly,$0.0068 hourly,$0.0051 hourly,$0.0023 hourly,$0.0023 hourly,No,x86_64,GCP
e2-medium,e2-medium,1.0,4 GiB,E2,1 Gbps,$0.0225 hourly,$0.0135 hourly,$0.0101 hourly,$0.0045 hourly,$0.0045 hourly,No,x86_64,GCP
e2-standard-2,e2-standard-2,2.0,8 GiB,E2,4 Gbps,$0.0668 hourly,$0.0401 hourly,$0.0301 hourly,$0.0134 hourly,$0.0134 hourly,No,x86_64,GCP
e2-standard-4,e2-standard-4,4.0,16 GiB,E2,8 Gbps,$0.1337 hourly,$0.0802 hourly,$0.0602 hourly,$0.0267 hourly,$0.0267 hourly,No,x86_64,GCP
e2-standard-8,e2-standard-8,8.0,32 GiB,E2,16 Gbps,$0.2674 hourly,$0.1604 hourly,$0.1203 hourly,$0.0535 hourly,$0.0535 hourly,No,x86_64,GCP
e2-standard-16,e2-standard-16,16.0,64 GiB,E2,16 Gbps,$0.5348 hourly,$0.3209 hourly,$0.2407 hourly,$0.1070 hourly,$0.1070 hourly,No,x86_64,GCP
e2-standard-32,e2-standard-32,32.0,128 GiB,E2,16 Gbps,$1.0696 hourly,$0.6418 hourly,$0.4813 hourly,$0.2139 hourly,$0.2139 hourly,No,x86_64,GCP
n2-standard-2,n2-standard-2,2.0,8 GiB,N2,10 Gbps,$0.0971 hourly,$0.0583 hourly,$0.0437 hourly,$0.0194 hourly,$0.0194 hourly,Optional,x86_64,GCP
n2-standard-4,n2-standard-4,4.0,16 GiB,N2,10 Gbps,$0.1942 hourly,$0.1165 hourly,$0.0874 hourly,$0.0388 hourly,$0.0388 hourly,Optional,x86_64,GCP
n2-standard-8,n2-standard-8,8.0,32 GiB,N2,16 Gbps,$0.3884 hourly,$0.2330 hourly,$0.1748 hourly,$0.0777 hourly,$0.0777 hourly,Optional,x86_64,GCP
n2-standard-16,n2-standard-16,16.0,64 GiB,N2,32 Gbps,$0.7768 hourly,$0.4661 hourly,$0.3496 hourly,$0.1554 hourly,$0.1554 hourly,Optional,x86_64,GCP
n2-standard-32,n2-standard-32,32.0,128 GiB,N2,32 Gbps,$1.5536 hourly,$0.9322 hourly,$0.6991 hourly,$0.3107 hourly,$0.3107 hourly,Optional,x86_64,GCP
n2-standard-48,n2-standard-48,48.0,192 GiB,N2,32 Gbps,$2.3304 hourly,$1.3982 hourly,$1.0487 hourly,$0.4661 hourly,$0.4661 hourly,Optional,x86_64,GCP
n2-standard-64,n2-standard-64,64.0,256 GiB,N2,32 Gbps,$3.1072 hourly,$1.8643 hourly,$1.3982 hourly,$0.6214 hourly,$0.6214 hourly,Optional,x86_64,GCP
n2-standard-80,n2-standard-80,80.0,320 GiB,N2,32 Gbps,$3.884 hourly,$2.3304 hourly,$1.7478 hourly,$0.7768 hourly,$0.7768 hourly,Optional,x86_64,GCP
n2-standard-96,n2-standard-96,96.0,384 GiB,N2,32 Gbps,$4.6608 hourly,$2.7965 hourly,$2.0974 hourly,$0.9322 hourly,$0.9322 hourly,Optional,x86_64,GCP
n2-standard-128,n2-standard-128,128.0,512 GiB,N2,32 Gbps,$6.2144 hourly,$3.7286 hourly,$2.7965 hourly,$1.2429 hourly,$1.2429 hourly,Optional,x86_64,GCP
c4-standard-2,c4-standard-2,2.0,8 GiB,C4,10 Gbps,$0.1189 hourly,$0.0713 hourly,$0.0535 hourly,$0.0238 hourly,$0.0238 hourly,Optional,x86_64,GCP
c4-standard-4,c4-standard-4,4.0,16 GiB,C4,10 Gbps,$0.2378 hourly,$0.1427 hourly,$0.1070 hourly,$0.0476 hourly,$0.0476 hourly,Optional,x86_64,GCP
c4-standard-8,c4-standard-8,8.0,32 GiB,C4,16 Gbps,$0.4756 hourly,$0.2854 hourly,$0.2140 hourly,$0.0951 hourly,$0.0951 hourly,Optional,x86_64,GCP
c4-standard-16,c4-standard-16,16.0,64 GiB,C4,32 Gbps,$0.9512 hourly,$0.5707 hourly,$0.4280 hourly,$0.1902 hourly,$0.1902 hourly,Optional,x86_64,GCP
c4-standard-32,c4-standard-32,32.0,128 GiB,C4,32 Gbps,$1.9024 hourly,$1.1414 hourly,$0.8561 hourly,$0.3805 hourly,$0.3805 hourly,Optional,x86_64,GCP
c4-standard-48,c4-standard-48,48.0,192 GiB,C4,50 Gbps,$2.8536 hourly,$1.7122 hourly,$1.2841 hourly,$0.5707 hourly,$0.5707 hourly,Optional,x86_64,GCP
c4-standard-96,c4-standard-96,96.0,384 GiB,C4,100 Gbps,$5.7072 hourly,$3.4243 hourly,$2.5682 hourly,$1.1414 hourly,$1.1414 hourly,Optional,x86_64,GCP
c4-standard-192,c4-standard-192,192.0,768 GiB,C4,100 Gbps,$11.4144 hourly,$6.8486 hourly,$5.1365 hourly,$2.2829 hourly,$2.2829 hourly,Optional,x86_64,GCP
c2-standard-4,c2-standard-4,4.0,16 GiB,C2,10 Gbps,$0.1995 hourly,$0.1197 hourly,$0.0898 hourly,$0.0399 hourly,$0.0399 hourly,Optional,x86_64,GCP
c2-standard-8,c2-standard-8,8.0,32 GiB,C2,16 Gbps,$0.399 hourly,$0.2394 hourly,$0.1795 hourly,$0.0798 hourly,$0.0798 hourly,Optional,x86_64,GCP
c2-standard-16,c2-standard-16,16.0,64 GiB,C2,32 Gbps,$0.798 hourly,$0.4788 hourly,$0.3591 hourly,$0.1596 hourly,$0.1596 hourly,Optional,x86_64,GCP
c2-standard-30,c2-standard-30,30.0,120 GiB,C2,32 Gbps,$1.4963 hourly,$0.8978 hourly,$0.6733 hourly,$0.2993 hourly,$0.2993 hourly,Optional,x86_64,GCP
c2-standard-60,c2-standard-60,60.0,240 GiB,C2,32 Gbps,$2.9925 hourly,$1.7955 hourly,$1.3466 hourly,$0.5985 hourly,$0.5985 hourly,Optional,x86_64,GCP
m1-ultramem-40,m1-ultramem-40,40.0,961 GiB,M1,32 Gbps,$6.3038 hourly,$3.7823 hourly,$2.8367 hourly,$1.2608 hourly,$1.2608 hourly,No,x86_64,GCP
m1-ultramem-80,m1-ultramem-80,80.0,1922 GiB,M1,32 Gbps,$12.6077 hourly,$7.5646 hourly,$5.6735 hourly,$2.5215 hourly,$2.5215 hourly,No,x86_64,GCP
m1-ultramem-160,m1-ultramem-160,160.0,3844 GiB,M1,32 Gbps,$25.2154 hourly,$15.1292 hourly,$11.3469 hourly,$5.0431 hourly,$5.0431 hourly,No,x86_64,GCP
m2-ultramem-208,m2-ultramem-208,208.0,5888 GiB,M2,32 Gbps,$40.6246 hourly,$24.3748 hourly,$18.2811 hourly,$8.1249 hourly,$8.1249 hourly,No,x86_64,GCP
m2-ultramem-416,m2-ultramem-416,416.0,11776 GiB,M2,32 Gbps,$81.2492 hourly,$48.7495 hourly,$36.5621 hourly,$16.2498 hourly,$16.2498 hourly,No,x86_64,GCP
z3-standard-22,z3-standard-22,22.0,176 GiB,Z3,25 Gbps,$1.4927 hourly,$0.8956 hourly,$0.6717 hourly,$0.2985 hourly,$0.2985 hourly,8 TiB,x86_64,GCP
z3-standard-44,z3-standard-44,44.0,352 GiB,Z3,50 Gbps,$2.9854 hourly,$1.7912 hourly,$1.3434 hourly,$0.5971 hourly,$0.5971 hourly,16 TiB,x86_64,GCP
z3-standard-88,z3-standard-88,88.0,704 GiB,Z3,100 Gbps,$5.9708 hourly,$3.5825 hourly,$2.6869 hourly,$1.1942 hourly,$1.1942 hourly,32 TiB,x86_64,GCP
z3-standard-176,z3-standard-176,176.0,1408 GiB,Z3,100 Gbps,$11.9416 hourly,$7.1650 hourly,$5.3737 hourly,$2.3883 hourly,$2.3883 hourly,36 TiB,x86_64,GCP
a2-highgpu-1g,a2-highgpu-1g,12.0,85 GiB,A2,24 Gbps,$3.673 hourly,$2.2038 hourly,$1.6528 hourly,$0.7346 hourly,$0.7346 hourly,Yes,x86_64,GCP
a2-highgpu-2g,a2-highgpu-2g,24.0,170 GiB,A2,32 Gbps,$7.346 hourly,$4.4076 hourly,$3.3057 hourly,$1.4692 hourly,$1.4692 hourly,Yes,x86_64,GCP
a2-highgpu-4g,a2-highgpu-4g,48.0,340 GiB,A2,50 Gbps,$14.692 hourly,$8.8152 hourly,$6.6114 hourly,$2.9384 hourly,$2.9384 hourly,Yes,x86_64,GCP
a2-highgpu-8g,a2-highgpu-8g,96.0,680 GiB,A2,100 Gbps,$29.384 hourly,$17.6304 hourly,$13.2228 hourly,$5.8768 hourly,$5.8768 hourly,Yes,x86_64,GCP
t2a-standard-1,t2a-standard-1,1.0,4 GiB,T2A,10 Gbps,$0.0356 hourly,$0.0214 hourly,$0.0160 hourly,$0.0071 hourly,$0.0071 hourly,No,ARM64,GCP
t2a-standard-2,t2a-standard-2,2.0,8 GiB,T2A,10 Gbps,$0.0712 hourly,$0.0427 hourly,$0.0320 hourly,$0.0142 hourly,$0.0142 hourly,No,ARM64,GCP
t2a-standard-4,t2a-standard-4,4.0,16 GiB,T2A,10 Gbps,$0.1424 hourly,$0.0854 hourly,$0.0641 hourly,$0.0285 hourly,$0.0285 hourly,No,ARM64,GCP
t2a-standard-8,t2a-standard-8,8.0,32 GiB,T2A,16 Gbps,$0.2848 hourly,$0.1709 hourly,$0.1282 hourly,$0.0570 hourly,$0.0570 hourly,No,ARM64,GCP
t2a-standard-16,t2a-standard-16,16.0,64 GiB,T2A,32 Gbps,$0.5696 hourly,$0.3418 hourly,$0.2563 hourly,$0.1139 hourly,$0.1139 hourly,No,ARM64,GCP
t2a-standard-32,t2a-standard-32,32.0,128 GiB,T2A,32 Gbps,$1.1392 hourly,$0.6835 hourly,$0.5126 hourly,$0.2278 hourly,$0.2278 hourly,No,ARM64,GCP
t2a-standard-48,t2a-standard-48,48.0,192 GiB,T2A,32 Gbps,$1.7088 hourly,$1.0253 hourly,$0.7690 hourly,$0.3418 hourly,$0.3418 hourly,No,ARM64,GCP
